Index,Original string,Book Title,Author,Publishing Place,Hebrew Calendar Year,Gregorian Calendar Year,Size,book id,api_title,api_record_id,api_id,api_publisher,api_date,api_author
26_LS,"אבן בחן. ה""ר נתן חיים-זאהן. דרוש. (מ""ע אור עינים). קראטאשין. תר""ב. 1842 4.",אבן בחן,נתן חיים-זאהן,קראטאשין,"תר""ב",1842,4,,אבן בחן : ... יבחנו הדברים אשר צברתי ... מגדולי המחברים ... / חובר מאתי ... נתן חיים-זאהן ...,990019164300205171,https://www.nli.org.il/en/books/NNL_ALEPH990019164300205171,קראטאשין : דפוס דוב בער מאנאש,"תר""ג","חיימזון, נתן$$Qחיימזון, נתן"
27_LS,"אבן בוהן. ה""ר הירש קאלישער. על שו""ע חו""מ סי' פ""ט. קראטאשין. תר""ג. 1842 4.",אבן בוחן,הירש קאלישער,קראטאשין,"תר""ג",1842,4,,,,,,,
28_LS,"אבן בוהן. (ח""א). (ה""ר פנחס היילפערין). ביאור מלות ההגיון להרמב""ם ז""ל. פפד""מ. תר""ו. 1846 .8",אבן בוהן,,,"תר""ו",1846,8,,,,,,,
29_LS,"אבן בוהן. ה""ר מאנוש בענדעטסזאהן. דקדוק. (מ""ע הגיון לעתים). ווילנא. 1855 .8",אבן בוהן,מאנוש בענדעטסזאהן,ווילנא,,1855,8,,אבן בחן : ... ראשי כללי דקדוק לשון עבר ערוכים בדרך שאלה ומענה בין רב לתלמיד / ... מאתי מנחם מאנוש בענדעטסזאה...,990018483080205171,https://www.nli.org.il/en/books/NNL_ALEPH990018483080205171,ווילנא : דפוס יוסף ראובן ראם,"תרט""ז","בנדטזון, מנחם מנוש, 1817-1888$$Qבנדטזון, מנחם מנוש, 1817-1888"
30_LS,"אבן העזר. הראב""ן. פוסק קדמון. פראג. ש""ע. 1610 .2",אבן העזר,,פראג,,1610,2,,"אבן העזר / [אשר חבר רבינו יעקב בן הרא""ש] ; עם נימוקי פאר הדור כמוה""ר יוסף קארו ... קראו בית יוסף ...",990012249970205171,https://www.nli.org.il/en/books/NNL_ALEPH990012249970205171,סביוניטה : טוביה פואה,"שי""ג","יעקב בן אשר, ?1270-?1340$$Qיעקב בן אשר, ?1270-?1340"
31_LS,"אבן הראשה. ה""ר אליהו קלאצקי. שו""ת וחי'. ווארשא. תרמ""ז. 1887 .2",אבן הראשה,אליהו קלאצקי,ווארשא,"תרמ""ז",1887,2,,,,,,,
32_LS,אכן יחייא. השר דון יוסף בן דון דוד אבן יחייא. על כתובים. (חסר השער). 2.,אבן יחייא, דון יוסף בן דון דוד אבן יחייא,,,,2,,,,,,,
33_LS,"אבן ישראל. ה""ר ישראל סאלאנטער. דרוש והי' מסכתות. (מ""ע אהל יהושע). ווארשא. 1883 .4",אבן ישראל,ישראל סאלאנטער,ווארשא,,1883,4,,,,,,,
34_LS,"אבן משה. ה""ר משה ב""ר יעקב אהרן מבריסק. על התורה ולקוטי נ""ב וחי' סוגיות. ווארשא. תרי""ט. 1859 .4",אבן משה,"משה ב""ר יעקב אהרן מבריסק",ווארשא,"תרי""ט",1859,4,,,,,,,
35_LS,"אבן נזר. ה""ר יוסף כהן צדק. שירים ומליצות .... (מ""ע מגד ירחים). לבוב. 1858 .8",אבן נזר,יוסף כהן צדק,לבוב,,1858,8,,,,,,,
46_LS,"עין דמעה. ה""ר שלמה קלוגר. הספד על ר' מאיר מפרעמישליין. ושו""ת בדיני שמחות. (מ""ע תורת זבח). זאלקווי. תר""י. 1850 .4",עין דמעה,שלמה קלוגר,זאלקווי,"תר""י",1850,4,,ספר עין דמעה : ... הספדים על גדולי הדור ואנשי מעשה ... / מאתי שלמה קליגר ...,990012272550205171,https://www.nli.org.il/en/books/NNL_ALEPH990012272550205171,זאלקווא [ואחרות] : דפוסים שונים,"תקצ""ד [1834]-תרצ""א [1931]","קלוגר, שלמה בן יהודה אהרן, 1785-1869$$Qקלוגר, שלמה בן יהודה אהרן, 1785-1869"
56_LS,"מים טהורים. ה""ר טוביה הלוי. דרשות. (מ""ע תורת הבית). ויניציאה. שפ""ח. 1628 .4",מים טהורים,טוביה הלוי,ויניציאה,,1628,4,,,,,,,
57_LS,"מנחת ששון. ה""ר ששון לוי. על טו""ר ושו""ת. ונלוה אליו ס' דברי ששון. על הש""ס. אזמיר. תרכ""ד. 1864 .2",מנחת ששון,ששון לוי,,"תרכ""ד",1864,2,,,,,,,
62_LS,"ד""י. (ח""כ). עם פי' הברטנורה. ותוי""ט. ותוי""ט האחרון. וחסדי דוד. וחי' הגר""ע איגר. והרבה פי' וחידושים. והוספות. ווארשא. תר""מ. 1880 .4",,,ווארשא,"תר""",1880,4,990001876670205171,,,,,,
100_LS,"אגרת פתוחה. מאת פרייהערר פאן ראטהשילד בוויען. אל שטאָקקער נעתק ללשון עבר מאת אברהם רודאלל בוויען. פרעסבורג. תרמ""א. 1881 .8",אגרת פתוחה,פרייהערר פאן ראטהשילד בוויען,פרעסבורג,"תרמ""א",1881,8,,,,,,,
101_LS,"אגרת צער בעלי חיים. ה""ר אברהם בער הכהן גאטטלאבער. (מ""ע תולדות הקבלה). זיטאמיר. 1868 .8",אגרת צער בעלי חיים,אברהם בער הכהן גאטטלאבער,זיטאמיר,,1868,8,,"אגרת צער בעלי חיים : להשיב דברים נכוחים אל אחד השועלים הקטנים המחבלים כרם ספרותנו, הלא הוא [אברהם אורי קובנר] ... וידבר סרה על גדולי סופרינו מזמן העבר וההוה במכתב פלסתר שלו ... : חקר דבר ... וגם על הספרים הקדושים ... ספרי תנ""ך, הוא אומר שילדי הד מיון הם ... : ונמשך הענין לדבר דבר בעתו על הניהיליזמוס ... אשר השחית את דרך בני הנעורים / ... מאת אברהם בער הכהן גאטטלאבער ...",990018602680205171,https://www.nli.org.il/en/books/NNL_ALEPH990018602680205171,"זיטאמיר : דפוס א""ש שאדאוו","תרכ""ח","גוטלובר, אברהם דב, 1811-1899$$Qגוטלובר, אברהם דב, 1811-1899"
102_LS,"אגרת הרמב""ן. להתנצלות ס' המורה והמדע. ווילנא. תקפ""א. 1821 .8","אגרת הרמב""ן",,ווילנא,"תקפ""א",1821,8,,,,,,,
103_LS,"ר""י. -- (מ""ע מלחמת ה')","ר""י",,,,,,,,,,,,
104_LS,אגרת רב שרירא גאון. קראטאשין. 1861 .8,אגרת רב שרירא גאון,,קראטאשין,,1861,8,,אגרת רב שרירא גאון.,997009674588405171,https://www.nli.org.il/en/archives/NNL_ARCHIVE_AL997009674588405171,,19210101,"לוין, בנימין מנשה (1879-1944)$$Qלוין, בנימין מנשה"
105_LS,"די. ע""י ב""ג מכת""י. ות' מרב האי, (מ""ע האחד). מאינין. תרל""ג. 1873 .8",,,מאינין,"תרל""ג",1873,8,,,,,,,
106_LS,"אגרת שמואל. ה""ר שמואל אווידה. על רות. (מ""ע עשרה מאמרות) קורונישמי. שנת. 1597 .4",אגרת שמואל,שמואל אווידה,,,1597,4,,"ספר אגרת שמואל : והוא ביאור מגילת רות / חברו ... כמה""ר שמואל אוזידה ... ; ועל ימינו ... פירוש רש""י ...",990010919240205171,https://www.nli.org.il/en/books/NNL_ALEPH990010919240205171,קורוגישמי : דפוס ריינה אלמנת דון יוסף הנשיא,"שנ""ז",ריינה אלמנת דון יוסף נשיא מדפיס
107_LS,"די. -- אמשטרדם. תע""ב. 1712 .4",,,אמשטרדם,,1712,4,,,,,,,
108_LS,"אגרת תימן להרמב""ס ז""ל. ווילנא. תקצ""ה. 1835 .8","אגרת תימן להרמב""ם",,ווילנא,"תקצ""ה",1835,8,,,,,,,
109_LS,"די'. (מ""ע אגרת ארהות עולם) -",,,,,,,,,,,,,
110_LS,"אגרת תימן השנית. לר יעקב ספיר. על משיה השקר שעמד בתימן. (מ""ע לקה טוב). מאינין. תרל""ג. 1873 .8",אגרת תימן השנית,יעקב ספיר,מאינין,"תרל""ג",1873,8,,"אגרת תימן השנית : על אדות משיח-שוא שקם מחדש בתימן שמו יהודה בר שלום - מרי שכר אלכחיל ... / ערוכה ושלוחה בהסכמת והוספת דברי טעם מרבני ... עה""ק ירושלם להרבנים ובד""צ בק""ק צנעא ... מאת ... מו""ה יעקב הלוי ספיר ...",990013209010205171,https://www.nli.org.il/en/books/NNL_ALEPH990013209010205171,ווילנא : א. ל. לעווינסאהן,"ה'ב'ר'כ'ו'ת' [תרל""ג]","ספיר, יעקב, 1822-1885$$Qספיר, יעקב, 1822-1885"
111_LS,"די. - (מ""ע זכרונות) -",,"- (מ""ע",,,,,,,,,,,
112_LS,"אגרת תשועת ישראל. כ""ר יוסף שלמה הקראי. ספור מסע שלוהי הקראים לפיטרבורג .... וקצת שירים, והעתקת האנרת הנ""ל בלי קדר .... (מ""ע אמונה אמן). .4",אגרת תשועת ישראל,,,,,4,990019976840205171,,,,,,
113_LS,"אגרות. ה""ר מאיר הלוי מטוליטולה. ע""ד המחלוקת על המורה והמדע. (מ""ע חמשה קונט'). פאריז. תרל""א. 1871 .4",אגרות,מאיר הלוי מטוליטולה,פאריז,"תרל""א",1871,4,,אגרות.,990038107290205171,https://www.nli.org.il/en/archives/NNL_ARCHIVE_AL990038107290205171,,18730423,"רקח, ציון חיים (1835-1910 נמען)$$Qרקח, ציון חיים"
114_LS,"אגרות המורה. עם ת""א מאת ה""ר דוד אטטענזאטער. (מ""ע ארבע כוסות). פיורדא. תר""ו. 1846 .8",אגרות המורה,"ה""ר דוד אטטענזאטער",פיורדא,"תר""ו",1846,8,,אגרות המורה : מתורגמות אשכנזית ; ונלוו אליהן הערות רבות בלשון אשכנז ... ומבוא אודות הספר ... ובנוסח העברי הגהות ישרות ...,990011278440205171,https://www.nli.org.il/en/books/NNL_ALEPH990011278440205171,פיורדא : [צירנדורפר],"תר""ו",
115_LS,"אגרות הרב חיד""א. (מ""ע תולדות יעב""ן). ליוורנו. תרכ""ז. 1867 .8","אגרות הרב חיד""א","חיד""א",ליוורנו,"תרכ""ז",1867,8,,"אגרות הרב חיד""א.",990011569360205171,https://www.nli.org.il/en/books/NNL_ALEPH990011569360205171,ליוורנו : דפוס ישראל קושטא וחבריו,"י'ר'א'ת' ה"" ה'י'א' חכמה [תרכ""ז]",
116_LS,"אגרות יש""ר. ב' הוברות ב""ב. הקירות בענינים שונים. וויען. 1834-6 .8","אגרות יש""ר",,וויען,,1834,8,,,,,,,
117_LS,אגרות. ר' משה מדעסויא. (מחברת א'). וויען. 1794 .8,אגרות,משה מדעסויא,וויען,,1794,8,,,,,,,
118_LS,"אגרות הרמ""ו. ר' משה זכות. קבלה. ובסופו אלף אלפין עם פי' ליוורנו. תק""מ. 1780 .4","אגרות הרמ""ו",משה זכות,ליוורנו,"תק""",1780,4,,שיר ברכת הבית / ... מעשה ... מתתיה לבית הלוי ...,990012070760205171,https://www.nli.org.il/en/books/NNL_ALEPH990012070760205171,ליוורנו : דפוס א. סעדון,"ש'מ'ע'ה' ב'ק'ו'ל'י' [תקס""ג]","לוי דה ויאלי, מתתיה בן משה זכות$$Qלוי דה ויאלי, מתתיה בן משה זכות"
119_LS,"אגרות הרמב""ם ותשובותיו והמכתבים בדבר המו""נ. ברין. תקנ""ז. 1797 .8","אגרות הרמב""ם ותשובותיו והמכתבים בדבר המו""נ",,,"תקנ""ז",1797,8,,,,,,,
120_LS,"ד""י. אמשטרדם. תע""ב. 1712 .8",,,אמשטרדם,,1712,8,,,,,,,
121_LS,"די'. ובסופו תולדות הרמב""ם. ווארשא. 1877 .8",,,ווארשא,,1877,8,,,,,,,
122_LS,"אגרות הרשב""א. עם אגרת הבדרשי. עם הערות לה""ר שמשון בלאך הלוי. לבוב. תקס""ט. 1809 .8","אגרות הרשב""א",שמשון בלאך הלוי,לבוב,"תקס""ט",1809,8,,"אגרות הרשב""א : [מה שכתב לחכמי פרובינצי""א שמן הראוי למנוע לימוד חכמת הפילוסופיא]. עם אגרת הבדרשי הוא הרב ידעיה הבדרשי ... ; הכינו ותקנו והביאו לבית הדפוס הרבני שמשון בהרבני יצחק בלאך הלוי.",990011246490205171,https://www.nli.org.il/en/books/NNL_ALEPH990011246490205171,לבוב : דפוס אורי צבי רבינשטיין,"תקס""ט","רובינשטיין, אורי צבי בן מרדכי (מדפיס)$$Qרובינשטיין, אורי צבי בן מרדכי"
123_LS,"אגרות שד""ל. (חמשה חלקים). פרזעמישל. תרמ""ב. 1882 .8","אגרות שד""ל",,פרזעמישל,"תרמ""ב",1882,8,990019787750205171,"אגרות שד""ל / ... אשר הוציא לאור שאלתיאל אייזיק גראבער ...",990019787750205171,https://www.nli.org.il/en/books/NNL_ALEPH990019787750205171,פרזעמישל : דפוס זופניק עט קנאללער,"תרמ""ב-תרנ""ד",
124_LS,"אגרות שי""ר אל רשד""ל. (מהדורה שניה). פרזעמישל. תרמ""ו. 1886 .8","אגרות שי""ר אל רשד""ל",,פרזעמישל,"תרמ""ו",1886,8,,"אגרות שי""ר : אשר הריץ ... אל רשד""ל (משנת תקצ""ג עד שנת תר""ך) עם הערות שזח""ה ועם מבוא והערות הרא""א הרכבי / הוציא לאור שאלתיאל אייזיק גראבער.",990020743830205171,https://www.nli.org.il/en/books/NNL_ALEPH990020743830205171,פרזעמישל : דפוס הכנסיה היונית הנוצרית,"תרמ""ה",
125_LS,"אדיר במרום. ה""ר משה חיים לוצאטו. על האדרא רבא. ווארשא. תרמ""ו. 1886 .8",אדיר במרום,משה חיים לוצאטו,ווארשא,"תרמ""ו",1886,8,,"ספר אדיר במרום / מכבוד... מוהר""ר משה חיים לוצאטו...",990003567900205171,https://www.nli.org.il/en/books/NNL_ALEPH990003567900205171,[ירושלים] : [מעין],"[תשמ""ד]","לוצאטו, משה חיים, 1707-1747$$Qלוצאטו, משה חיים, 1707-1747"
126_LS,"אדם שכלי. ה""ר שמעון ב""ר שמואל. מפרש י""ג עקרים ע""פ י""ג מדות של הקב""ה. טיהינגען. ש""ך. 1560 .4",אדם שכלי,"שמעון ב""ר שמואל",,,1560,4,,אדם שכלי המדקדק בהדרת קודש / נאו' המחבר (שמעון בן שמואל) ...,990013695960205171,https://www.nli.org.il/en/books/NNL_ALEPH990013695960205171,[טיהינגן] : [מוציא לאור לא ידוע],"[ש""ך]","שמעון בן שמואל, מצרפת$$Qשמעון בן שמואל, מצרפת"
127_LS,"אדני פז. חי' מלוקטים כס' התורה בשם גדולי הדור. זאלקווי. תק""מ. 1780 .8",אדני פז,,זאלקווי,"תק""",1780,8,,אדני פז.,990034832830205171,https://www.nli.org.il/en/archives/NNL_ARCHIVE_AL990034832830205171,,[ca. 1891-1936],
128_LS,"אדרת אליהו. ה""ר רפאל עמנואל חי ריקי. וחי' הלכות וש""ות. ב' חלקים. ליוורנו. תק""ב. 1742 .4",אדרת אליהו,רפאל עמנואל חי ריקי,ליוורנו,"תק""ב",1742,4,,"זה ספר אדרת אליהו : דקדוקים בעומק הלכה על כל ענין ולשון זר שבש""ס ... / חברו ... כמוהר""ר רפאל עמנואל חי ריקי ...",990011896770205171,https://www.nli.org.il/en/books/NNL_ALEPH990011896770205171,.MONROE N.Y : י' בראך,"תשנ""ב","ריקי, רפאל עמנואל חי בן אברהם, 1687-1743$$Qריקי, רפאל עמנואל חי בן אברהם, 1687-1743"
129_LS,"אדרת אליהו. ה""ר אהרן מ""מ בקאלשין. הספר על מות הגר""א ז""ל (מ""ע אדרת אליהו). ווארשא. 1798 .8",אדרת אליהו,"אהרן מ""מ בקאלשין",ווארשא,,1798,8,,"ספר אדרת אליהו : והוא מספד ... על פטירת ... מוהר' אליהו מווילנא / אשר דרש ... מוהר""ר אהרן במ' משה, מגיד משרים דק""ק קאלשין ...",990010622360205171,https://www.nli.org.il/en/books/NNL_ALEPH990010622360205171,ווארשא : דפוס זאוואצקא,"ב'א' י'ב'א' מ'ב'ש'ר' [תקנ""ח] 1798",
130_LS,"אדרת אליהו. ה""ר יחיאל מיכל מקלווריע. לקוטים מס' הדרת אליהו. נאווידוואהר. תקס""ה. 1805 .8",אדרת אליהו,יחיאל מיכל מקלווריע,,"תקס""ה",1805,8,,ספר אדרת אליהו : לקוטים מספר הדרת אליהו / (המלקט ... יחיאל מיכל במ' יהודא ליב) ...,990012069240205171,https://www.nli.org.il/en/books/NNL_ALEPH990012069240205171,נאווי דוואהר : דפוס יאהן אנטהאן קריגר,"וי'לט אלי'ה' פ'נ'י'ו באדרת'ו [תקס""ה]",
131_LS,"אדרת אליהו. להגר""א ז""ל על התורה. הלברשטאטט. .4",אדרת אליהו,הגר״א,,,,4,,ספר אבי עזר : ... די באר על רוב דקדוקי הרב אבן עזרא בפרושו על התורה ...,990020820290205171,https://www.nli.org.il/en/books/NNL_ALEPH990020820290205171,פוזנא : דפוס האחים מייא,"תקס""ב",
132_LS,די'. עם הוספות. וב' ביאורים וגם הקיצור מכילתא. ווארשא. 1887 .8,,,ווארשא,,1887,8,,,,,,,
133_LS,"אדרת אליהו. ה""ר שלמה נסים. נגד ס' הויכוח לשד""ל. ליוורנו. תרט""ו. 1855 .8",אדרת אליהו,שלמה נסים,ליוורנו,"תרט""ו",1855,8,,"אהבת אמת : ח""י מאמרים אגדתא ... על אדני החקירה עפ""י הקדמות מהרמב""ם, העקרים וחוה""ל ... ונלוה אליהם שבעה מאמרים שמעתתא ... בשם פעולת אמת לברר שיטות הראשונים ... / ממני שמואל ליב קוידער ...",990017881840205171,https://www.nli.org.il/en/books/NNL_ALEPH990017881840205171,פראג : M. J. Landau,"תקפ""ט 1828",
134_LS,"אדרת אליהו. ה""ר יוסף חיים ב""ר אליהו. על התורה. ליוורנו. תרכ""ד. 1864 .4",אדרת אליהו,"יוסף חיים ב""ר אליהו",ליוורנו,"תרכ""ד",1864,4,,,,,,,
135_LS,"אדרת אליהו. ה""ר אליהו חיים אבד""ק טורעץ. על הל' טריפות. (מ""ע קובץ על יד החזקה). ווילנא. תרכ""ה. 1864 .2",אדרת אליהו,"אליהו חיים אבד""ק טורעץ",ווילנא,"תרכ""ה",1864,2,,,,,,,
136_LS,"אדרת אליהו. כ""ר אליהו בשייצי הקראי. פי' על המצות. (מ""ע אגרת זוג ונפרד). גוזלאוו. 1835 .2",אגרת זוג ונפרד,"(מ""ע",,,1835,2,,"אגרת זוג ונפרד : כוללת כללים שערך למשפט חלוק דיני המזנה והנקנית באסור המגיע מהן לזולתן ומתי יתחיב הזוג להיות נפרד ... אחד היה אברהם אב""ן יש""ר לוצקי על הלכה למעשה שאירע בזמנו ובא לבית דינו והשגות מקצת חכמי דורו עליו עם תשובותיו על השגותיהם ...",990019784340205171,https://www.nli.org.il/en/books/NNL_ALEPH990019784340205171,גוזלווא : [מוציא לאור לא ידוע],"תקצ""ז","לוצקי, אברהם בן יוסף שלמה, 1792-1855$$Qלוצקי, אברהם בן יוסף שלמה, 1792-1855"
137_LS,"אהבת אמת. ה""ר שמואל ליב קוידער. דרוש. פראג. תקפ""ט. 1829 .4",אהבת אמת,שמואל ליב קוידער,פראג,"תקפ""ט",1829,4,,"אהבת אמת : ח""י מאמרים אגדתא ... על אדני החקירה עפ""י הקדמות מהרמב""ם, העקרים וחוה""ל ... ונלוה אליהם שבעה מאמרים שמעתתא ... בשם פעולת אמת לברר שיטות הראשונים ... / ממני שמואל ליב קוידער ...",990017881840205171,https://www.nli.org.il/en/books/NNL_ALEPH990017881840205171,פראג : M. J. Landau,"תקפ""ט 1828","לנדא, משה בן ישראל (1788-1852 מדפיס)$$Qלנדא, משה בן ישראל"
138_LS,"אהבת דוד. ה""ר חיד""א. דרושים ושפה אחת על ההגדה. (מ""ע יוסף אומץ). ליוורנו. תקנ""ט. 1799 .2",אהבת דוד,"חיד""א",ליוורנו,"תקנ""ט",1799,2,,"שפה אחת : פירוש הגדה של פסח ... : נדפס בתוך ספר אהבת דוד, ליוורנו תקנ""ט / מהגה""ק מרן חיים יוסף דוד אזולאי ...",990003951250205171,https://www.nli.org.il/en/books/NNL_ALEPH990003951250205171,בני ברק : ספרי יהדות,19850101,"אזולאי, חיים יוסף דוד, 1724-1806$$Qאזולאי, חיים יוסף דוד, 1724-1806"
139_LS,"אהבת דוד. ה""ר שלום דוד אבד""ק וועגער. דרוש. ווילנא. תרל""ב. 1871 .8",אהבת דוד,"שלום דוד אבד""ק וועגער",ווילנא,"תרל""ב",1871,8,,,,,,,
